MonthlyCharges,gender,SeniorCitizen,Partner,Dependents,tenure,InternetService,OnlineBackup,Contract,PaperlessBilling,Churn
50.2,Female,0,Yes,No,34,DSL,No,Month-to-month,No,No
62.25,Male,0,No,No,10,DSL,No,Month-to-month,No,No
55.7,Female,0,No,No,14,DSL,No,One year,No,No
90.05,Female,0,No,No,23,Fiber optic,No,Month-to-month,Yes,Yes
19.65,Male,0,Yes,No,47,No,No internet service,Two year,No,No
89.25,Male,0,Yes,No,24,Fiber optic,No,Month-to-month,Yes,No
99.05,Male,0,Yes,No,49,Fiber optic,Yes,Month-to-month,Yes,Yes
54,Male,1,No,No,20,DSL,No,One year,No,No
69.75,Female,0,No,No,2,Fiber optic,No,Month-to-month,No,Yes
49.05,Female,0,No,No,2,DSL,Yes,Month-to-month,Yes,Yes
56.75,Male,0,No,No,22,DSL,No,Two year,No,No
98.05,Male,0,No,No,7,Fiber optic,No,Month-to-month,Yes,Yes
21.1,Male,0,No,No,1,No,No internet service,Month-to-month,No,No
96.65,Female,0,Yes,Yes,59,Fiber optic,Yes,Month-to-month,Yes,No
24.5,Female,0,Yes,Yes,58,No,No internet service,One year,Yes,No
114.5,Female,0,No,No,41,Fiber optic,Yes,Month-to-month,Yes,Yes
79.2,Female,1,No,No,59,Fiber optic,Yes,Two year,Yes,No
69.55,Female,0,Yes,Yes,3,Fiber optic,No,Month-to-month,Yes,No
20.05,Male,0,No,No,32,No,No internet service,Two year,Yes,No
98.85,Male,1,Yes,No,46,Fiber optic,No,Month-to-month,Yes,No
25.75,Male,0,Yes,Yes,0,No,No internet service,Two year,No,No
80.95,Male,0,No,No,2,Fiber optic,No,Month-to-month,Yes,Yes
19.6,Female,0,Yes,Yes,52,No,No internet service,One year,No,No
74.3,Female,1,No,No,13,Fiber optic,No,Month-to-month,Yes,Yes
89.7,Female,1,No,No,11,Fiber optic,No,Month-to-month,No,Yes
87.65,Male,0,No,No,32,Fiber optic,No,Month-to-month,No,No
100.45,Male,1,Yes,No,17,Fiber optic,No,Month-to-month,Yes,Yes
74.75,Female,0,No,No,16,Fiber optic,No,Month-to-month,Yes,No
107.45,Female,0,No,No,51,Fiber optic,Yes,One year,No,No
75.35,Male,0,No,No,29,DSL,No,One year,Yes,No
64.95,Male,0,Yes,No,70,DSL,Yes,Two year,No,No
100.45,Female,0,Yes,Yes,71,Fiber optic,No,Two year,No,No
68.5,Male,0,Yes,Yes,41,DSL,Yes,One year,No,No
80.55,Male,0,No,No,1,Fiber optic,No,Month-to-month,Yes,No
81.25,Female,0,Yes,No,7,DSL,No,Month-to-month,No,No
90.4,Male,0,Yes,Yes,25,Fiber optic,No,One year,Yes,Yes
89.55,Male,0,Yes,Yes,67,Fiber optic,Yes,One year,No,No
55.7,Male,0,Yes,Yes,5,DSL,No,Month-to-month,Yes,No
24.8,Male,0,No,Yes,15,No,No internet service,Month-to-month,Yes,No
20,Female,0,Yes,Yes,20,No,No internet service,Month-to-month,No,No
56.15,Male,0,Yes,Yes,3,DSL,Yes,Month-to-month,Yes,Yes
105.2,Male,0,Yes,Yes,54,Fiber optic,Yes,One year,Yes,No
19.55,Male,0,No,No,42,No,No internet service,One year,Yes,No
79.75,Female,0,Yes,No,9,Fiber optic,No,Month-to-month,Yes,No
97.45,Female,0,No,No,63,Fiber optic,Yes,Two year,No,No
24.25,Female,0,Yes,No,69,No,No internet service,Two year,No,No
24.6,Female,0,No,No,69,No,No internet service,Two year,No,No
50.15,Male,0,Yes,No,40,DSL,Yes,Month-to-month,Yes,No
39.6,Male,0,No,No,60,DSL,Yes,Two year,No,No
94.4,Female,0,No,No,4,Fiber optic,No,Month-to-month,Yes,Yes
89.85,Female,1,No,No,71,DSL,Yes,Two year,No,No
78.95,Female,0,Yes,No,37,Fiber optic,No,Month-to-month,Yes,Yes
98.85,Male,0,Yes,No,32,Fiber optic,Yes,Month-to-month,Yes,No
53.85,Male,0,No,No,39,DSL,No,Two year,Yes,No
24.25,Female,0,No,No,38,No,No internet service,One year,Yes,No
89.45,Male,0,No,No,52,Fiber optic,No,Two year,Yes,No
105.25,Female,0,Yes,Yes,48,Fiber optic,Yes,Month-to-month,Yes,No
59.5,Male,0,Yes,Yes,70,DSL,No,Two year,No,No
70.55,Male,0,No,No,20,Fiber optic,No,Month-to-month,No,No
82.5,Female,0,No,No,50,DSL,No,One year,Yes,No
44.85,Female,0,No,No,19,DSL,No,One year,Yes,Yes
61.6,Male,0,Yes,Yes,25,DSL,Yes,One year,Yes,No
49.05,Male,0,No,No,12,DSL,Yes,Month-to-month,Yes,No
105.65,Male,1,Yes,No,39,Fiber optic,Yes,Month-to-month,Yes,Yes
74.65,Male,0,No,No,7,Fiber optic,No,Month-to-month,No,Yes
66.25,Female,0,Yes,Yes,23,DSL,Yes,One year,Yes,No
19.4,Male,0,No,No,27,No,No internet service,Month-to-month,Yes,No
86.05,Male,1,No,No,47,Fiber optic,No,Month-to-month,Yes,No
19.15,Male,0,Yes,Yes,26,No,No internet service,Two year,Yes,No
64.7,Female,0,Yes,No,14,DSL,No,Month-to-month,Yes,Yes
104.05,Female,1,Yes,No,11,Fiber optic,No,Month-to-month,Yes,Yes
19.25,Male,0,No,Yes,2,No,No internet service,Month-to-month,No,No
81.95,Female,0,Yes,Yes,26,Fiber optic,Yes,Month-to-month,No,No
114.65,Female,1,Yes,No,72,Fiber optic,Yes,Two year,Yes,No
20,Female,0,Yes,Yes,63,No,No internet service,Two year,No,No
19.8,Male,0,Yes,Yes,71,No,No internet service,Two year,No,No
65.15,Male,0,Yes,Yes,11,DSL,No,Month-to-month,Yes,No
19.65,Male,1,Yes,No,14,No,No internet service,One year,No,No
88.95,Female,0,No,Yes,13,DSL,Yes,Two year,No,No
20.2,Male,0,No,Yes,6,No,No internet service,Month-to-month,Yes,No
75.2,Male,1,Yes,Yes,11,Fiber optic,No,Month-to-month,Yes,No
56.8,Male,0,Yes,No,18,DSL,Yes,Month-to-month,No,No
35.55,Male,0,No,No,1,DSL,No,Month-to-month,Yes,Yes
75.5,Female,0,Yes,No,32,Fiber optic,No,Month-to-month,Yes,No
35.6,Male,0,No,No,29,DSL,No,One year,No,No
60.25,Female,0,No,No,3,DSL,No,Month-to-month,Yes,No
95.15,Female,0,No,No,2,Fiber optic,No,Month-to-month,Yes,Yes
96.65,Male,0,Yes,Yes,13,Fiber optic,No,Month-to-month,Yes,Yes
40.35,Female,0,No,No,41,DSL,Yes,Month-to-month,Yes,No
18.85,Female,0,No,No,1,No,No internet service,Month-to-month,No,No
54.85,Male,0,No,No,7,DSL,No,Month-to-month,No,No
64.3,Female,0,Yes,No,52,DSL,No,One year,Yes,No
24.65,Female,0,Yes,Yes,45,No,No internet service,Two year,Yes,No
76.1,Male,0,Yes,No,70,DSL,Yes,Two year,No,No
18.7,Female,0,No,No,53,No,No internet service,Two year,No,No
97.95,Female,1,Yes,No,62,Fiber optic,Yes,One year,Yes,No
94.1,Female,0,Yes,No,60,Fiber optic,Yes,Month-to-month,Yes,No
80.4,Female,1,Yes,No,3,Fiber optic,No,Month-to-month,Yes,Yes
95.1,Female,1,Yes,No,23,Fiber optic,No,Month-to-month,Yes,No
31.35,Male,0,No,Yes,1,DSL,Yes,Month-to-month,Yes,Yes
72.35,Female,0,No,No,67,DSL,No,One year,Yes,No
89.75,Female,0,No,No,12,Fiber optic,Yes,Month-to-month,Yes,Yes
82.7,Female,1,Yes,No,71,DSL,Yes,Two year,Yes,No
19.9,Male,0,No,No,25,No,No internet service,One year,No,No
53.8,Female,0,No,No,5,DSL,No,Month-to-month,Yes,No
51.55,Male,0,No,No,26,DSL,No,One year,Yes,No
19.65,Male,0,Yes,Yes,1,No,No internet service,One year,No,No
44.05,Male,1,No,No,70,DSL,Yes,One year,Yes,No
114,Male,0,Yes,Yes,72,Fiber optic,Yes,Two year,Yes,No
94.4,Male,0,Yes,No,60,Fiber optic,Yes,One year,Yes,Yes
100.4,Female,1,Yes,Yes,32,Fiber optic,Yes,Month-to-month,Yes,No
19.85,Male,0,No,No,1,No,No internet service,Month-to-month,Yes,Yes
54.25,Female,0,No,No,14,DSL,Yes,One year,Yes,No
80,Female,0,No,No,13,Fiber optic,No,Month-to-month,Yes,No
109.9,Female,0,No,No,6,Fiber optic,Yes,Month-to-month,Yes,Yes
79.2,Female,0,No,No,46,DSL,No,Two year,No,No
101.35,Male,0,No,No,15,Fiber optic,No,Month-to-month,Yes,Yes
94.3,Male,1,Yes,No,43,Fiber optic,Yes,Month-to-month,Yes,No
49.8,Male,0,No,No,39,DSL,No,Two year,Yes,No
60.05,Male,1,No,No,21,DSL,No,Month-to-month,Yes,Yes
53.75,Male,0,No,No,57,DSL,No,Month-to-month,Yes,No
93.45,Female,0,Yes,No,53,Fiber optic,No,One year,Yes,No
87.9,Male,0,Yes,Yes,18,Fiber optic,No,Month-to-month,Yes,No
60.15,Female,0,No,No,1,DSL,No,Month-to-month,Yes,Yes
61.05,Female,0,Yes,No,58,DSL,No,One year,Yes,No
104.05,Female,1,No,No,71,Fiber optic,No,Two year,No,No
99.25,Female,0,No,No,35,Fiber optic,No,One year,Yes,No
85.7,Male,0,No,No,3,Fiber optic,No,Month-to-month,No,No
104.85,Male,0,No,No,38,Fiber optic,Yes,One year,Yes,No
69.15,Male,0,Yes,Yes,35,DSL,Yes,Two year,Yes,No
90.45,Male,0,No,No,7,Fiber optic,No,Month-to-month,Yes,Yes
74.45,Female,0,No,No,47,DSL,No,Two year,No,No
50.45,Female,0,No,No,14,DSL,Yes,Month-to-month,No,No
60,Female,1,Yes,No,20,DSL,Yes,Month-to-month,Yes,No
85.25,Male,0,Yes,No,66,DSL,Yes,Two year,No,No
19.45,Male,0,Yes,No,15,No,No internet service,Month-to-month,Yes,No
20.75,Female,0,No,No,42,No,No internet service,Two year,Yes,No
78.9,Female,0,Yes,No,17,Fiber optic,No,Month-to-month,No,No
104.5,Male,0,No,No,37,Fiber optic,Yes,One year,Yes,No
49.4,Female,0,No,No,12,DSL,Yes,Month-to-month,Yes,No
94.25,Male,0,Yes,No,53,Fiber optic,Yes,One year,Yes,Yes
25,Female,0,No,No,60,No,No internet service,Two year,No,No
25.55,Male,0,Yes,Yes,18,DSL,No,Month-to-month,No,No
74.9,Male,0,No,No,1,Fiber optic,No,Month-to-month,Yes,Yes
70.15,Female,0,No,No,3,Fiber optic,No,Month-to-month,Yes,No
69.4,Female,0,No,Yes,9,DSL,No,Month-to-month,Yes,No
80.25,Female,0,No,No,1,Fiber optic,No,Month-to-month,Yes,Yes
93.15,Male,0,Yes,No,56,Fiber optic,Yes,One year,Yes,No
69,Male,0,Yes,Yes,17,Fiber optic,No,Month-to-month,Yes,Yes
66.35,Female,0,Yes,Yes,11,DSL,No,Month-to-month,Yes,Yes
69.55,Male,0,No,No,7,Fiber optic,No,Month-to-month,Yes,No
20.2,Female,0,Yes,Yes,69,No,No internet service,Two year,No,No
86,Male,0,No,No,19,Fiber optic,No,Month-to-month,Yes,Yes
80.3,Female,0,Yes,Yes,3,Fiber optic,No,Month-to-month,Yes,Yes
20.4,Male,0,Yes,Yes,54,No,No internet service,Two year,No,No
23.75,Male,0,Yes,No,62,No,No internet service,One year,Yes,No
90.55,Male,0,No,No,24,Fiber optic,Yes,Month-to-month,Yes,Yes
70.45,Female,0,Yes,Yes,62,DSL,No,Month-to-month,Yes,No
65.75,Male,0,No,No,17,DSL,No,Month-to-month,No,No
24.6,Male,0,No,No,9,DSL,No,Month-to-month,Yes,No
69.25,Male,0,Yes,Yes,64,DSL,No,Two year,No,No
75.9,Female,0,No,No,2,Fiber optic,No,Month-to-month,Yes,Yes
45.85,Male,0,Yes,Yes,1,DSL,No,Month-to-month,Yes,Yes
49.95,Female,0,Yes,No,16,DSL,No,Month-to-month,Yes,Yes
24.65,Female,0,Yes,No,72,No,No internet service,Two year,No,No
90.4,Male,0,No,No,30,Fiber optic,Yes,One year,No,No
100.85,Female,0,Yes,No,49,Fiber optic,No,Month-to-month,Yes,No
75.35,Male,0,Yes,No,61,DSL,No,Two year,No,No
87.2,Male,0,Yes,Yes,47,Fiber optic,Yes,Month-to-month,No,No
64.4,Male,0,No,No,20,DSL,No,Month-to-month,No,No
78.3,Male,0,Yes,Yes,34,Fiber optic,No,Month-to-month,No,Yes
24.7,Female,0,Yes,Yes,70,No,No internet service,Two year,No,No
105.85,Male,0,No,Yes,54,Fiber optic,Yes,One year,Yes,No
98.3,Male,1,Yes,No,61,Fiber optic,Yes,One year,Yes,No
76.95,Male,0,No,No,3,Fiber optic,No,Month-to-month,Yes,Yes
19.45,Male,0,No,No,13,No,No internet service,One year,No,No
96.15,Female,1,No,No,16,Fiber optic,No,Month-to-month,Yes,Yes
58.7,Female,0,Yes,Yes,3,DSL,Yes,Month-to-month,Yes,No
20.15,Male,0,No,No,25,No,No internet service,Month-to-month,Yes,No
64.5,Male,0,No,No,30,DSL,No,Month-to-month,Yes,No
28.5,Female,0,Yes,No,21,DSL,No,Month-to-month,No,No
45.3,Male,0,No,No,1,DSL,No,Month-to-month,No,Yes
19.4,Female,0,No,No,15,No,No internet service,Month-to-month,No,Yes
90.45,Male,1,Yes,No,23,Fiber optic,No,Month-to-month,Yes,No
105.15,Female,0,Yes,Yes,45,Fiber optic,Yes,Month-to-month,Yes,No
83.15,Female,0,Yes,Yes,24,Fiber optic,Yes,One year,No,No
90.15,Female,0,No,No,11,Fiber optic,No,Month-to-month,No,Yes
45.05,Male,0,No,No,1,DSL,No,Month-to-month,No,Yes
103.2,Female,0,Yes,No,56,Fiber optic,No,Two year,No,No
75.8,Female,0,No,No,1,Fiber optic,Yes,Month-to-month,No,Yes
19.45,Male,0,No,No,1,No,No internet service,Month-to-month,No,No
79.3,Female,0,No,No,7,Fiber optic,No,Month-to-month,Yes,Yes
88.8,Female,1,Yes,No,55,Fiber optic,No,Two year,No,No
30.9,Female,0,No,No,2,DSL,No,Month-to-month,Yes,Yes
85.9,Female,0,Yes,Yes,72,DSL,No,Two year,Yes,No
34.2,Female,1,No,No,45,DSL,No,One year,No,No
20.15,Female,0,No,No,47,No,No internet service,Two year,No,No
95.25,Female,1,No,No,46,Fiber optic,Yes,One year,No,Yes
50.3,Male,0,No,No,2,DSL,Yes,Month-to-month,Yes,No
80.15,Female,0,Yes,No,2,Fiber optic,No,Month-to-month,Yes,No
51.25,Female,0,Yes,No,12,DSL,Yes,Month-to-month,Yes,No
89.6,Female,1,Yes,No,68,Fiber optic,Yes,Month-to-month,Yes,Yes
95.2,Male,0,Yes,Yes,69,Fiber optic,No,Two year,Yes,No
94.8,Male,1,No,Yes,56,Fiber optic,No,One year,No,No
80.25,Female,1,No,No,4,Fiber optic,No,Month-to-month,Yes,No
76.1,Male,0,Yes,No,64,DSL,Yes,Two year,Yes,No
110.15,Male,0,Yes,No,59,Fiber optic,Yes,One year,Yes,Yes
115.55,Male,0,Yes,Yes,62,Fiber optic,Yes,Two year,No,No
24.65,Male,0,Yes,Yes,63,No,No internet service,Two year,No,No
53.6,Female,0,No,No,53,DSL,Yes,One year,Yes,No
19.45,Male,0,Yes,Yes,5,No,No internet service,Month-to-month,No,No
88.2,Male,1,Yes,No,49,Fiber optic,Yes,Month-to-month,Yes,No
101.15,Female,0,Yes,Yes,62,Fiber optic,No,Two year,Yes,No
56.8,Female,0,Yes,No,55,DSL,Yes,Two year,No,No
99.4,Female,1,Yes,No,71,Fiber optic,Yes,Two year,Yes,No
20.1,Female,0,Yes,Yes,72,No,No internet service,Two year,Yes,No
60.7,Male,0,Yes,Yes,36,DSL,No,One year,No,No
20.95,Male,0,Yes,No,25,No,No internet service,One year,Yes,No
114.85,Female,1,Yes,No,72,Fiber optic,Yes,Two year,Yes,No
19.25,Female,0,No,No,36,No,No internet service,One year,Yes,No
62.8,Male,0,No,No,1,DSL,No,Month-to-month,Yes,No
105.5,Female,0,Yes,No,72,Fiber optic,No,Two year,Yes,No
19.85,Male,0,Yes,Yes,59,No,No internet service,Two year,No,No
89.5,Male,1,Yes,No,7,Fiber optic,No,Month-to-month,Yes,Yes
74.1,Female,0,No,No,1,DSL,No,One year,No,No
107.5,Female,0,Yes,Yes,30,Fiber optic,Yes,Month-to-month,Yes,No
19.55,Male,0,No,No,64,No,No internet service,Two year,No,No
68.8,Male,0,No,No,63,DSL,Yes,One year,No,No
84.45,Male,1,Yes,No,72,DSL,Yes,Two year,No,No
75,Male,0,Yes,No,8,Fiber optic,No,Month-to-month,No,Yes
84.5,Female,0,No,No,62,DSL,Yes,Two year,No,No
111.2,Male,0,Yes,Yes,67,Fiber optic,Yes,Two year,Yes,No
44.75,Male,0,No,No,6,DSL,No,Month-to-month,No,Yes
80.6,Female,0,Yes,Yes,70,DSL,No,Two year,Yes,No
80.7,Female,1,No,No,20,Fiber optic,No,Month-to-month,No,No
75.6,Female,0,No,No,5,Fiber optic,No,Month-to-month,No,No
57.6,Female,0,Yes,Yes,24,DSL,Yes,One year,No,No
44.05,Female,0,Yes,No,11,DSL,No,Month-to-month,Yes,Yes
110.6,Male,0,Yes,No,72,Fiber optic,Yes,Two year,Yes,No
58.2,Female,0,Yes,Yes,66,DSL,Yes,Two year,Yes,No
81,Female,0,Yes,Yes,45,DSL,No,Two year,Yes,No
19.7,Female,0,Yes,Yes,69,No,No internet service,Two year,No,No
85.6,Male,1,Yes,No,15,Fiber optic,No,Month-to-month,Yes,Yes
59.55,Female,0,No,No,28,DSL,No,Month-to-month,Yes,No
115.55,Female,0,No,No,70,Fiber optic,Yes,One year,No,Yes
75.55,Female,0,No,No,36,DSL,Yes,One year,Yes,No
86.6,Male,1,No,No,16,Fiber optic,No,Month-to-month,Yes,Yes
85.2,Female,0,No,No,18,Fiber optic,No,Month-to-month,Yes,Yes
97.65,Female,0,Yes,No,34,Fiber optic,No,Month-to-month,Yes,Yes
45.1,Male,0,Yes,Yes,42,DSL,Yes,One year,Yes,No
70.95,Male,0,No,No,48,DSL,No,One year,Yes,No
109.55,Male,0,Yes,No,47,Fiber optic,Yes,Month-to-month,Yes,Yes
89.55,Female,0,Yes,Yes,39,Fiber optic,Yes,One year,Yes,Yes
20.9,Female,0,Yes,Yes,11,No,No internet service,Two year,No,No
19.95,Male,0,No,No,7,No,No internet service,Month-to-month,Yes,No
24.6,Female,0,No,No,3,No,No internet service,Month-to-month,No,No
66.7,Male,0,No,No,8,DSL,No,Month-to-month,Yes,No
19.45,Male,0,No,Yes,1,No,No internet service,Month-to-month,Yes,Yes
94.8,Male,0,Yes,Yes,32,Fiber optic,Yes,One year,No,No
65.85,Male,0,Yes,Yes,60,DSL,Yes,One year,Yes,No
19.95,Female,0,Yes,No,10,No,No internet service,Month-to-month,Yes,No
24.65,Female,0,Yes,No,71,No,No internet service,Two year,Yes,No
20.35,Female,0,Yes,Yes,4,No,No internet service,Month-to-month,No,Yes
69.25,Female,1,No,No,1,Fiber optic,No,Month-to-month,Yes,Yes
51.25,Female,0,Yes,Yes,43,DSL,Yes,One year,Yes,No
99.5,Male,0,Yes,No,59,Fiber optic,No,One year,Yes,Yes
54.25,Female,0,Yes,No,23,DSL,No,Month-to-month,No,No
19.4,Female,0,Yes,No,72,No,No internet service,Two year,No,No
56.25,Male,0,Yes,No,22,DSL,No,One year,Yes,No
25.15,Female,0,No,No,1,DSL,No,Month-to-month,Yes,No
23.95,Male,0,No,No,69,No,No internet service,Two year,No,No
35.4,Male,0,No,No,50,DSL,No,One year,Yes,No
25.2,Female,1,No,No,1,DSL,No,Month-to-month,Yes,Yes
45,Male,0,No,No,2,DSL,No,Month-to-month,Yes,Yes
75.35,Female,0,Yes,No,15,Fiber optic,Yes,Month-to-month,No,No
20.4,Male,0,No,No,31,No,No internet service,Two year,No,No
20.15,Male,0,No,No,1,No,No internet service,Month-to-month,No,Yes
105,Male,0,Yes,No,66,Fiber optic,Yes,Month-to-month,Yes,Yes
56.05,Female,0,Yes,Yes,0,DSL,Yes,Two year,No,No
54.7,Male,0,No,Yes,3,DSL,No,Month-to-month,Yes,Yes
20,Female,0,No,No,8,No,No internet service,Two year,No,No
73.05,Male,0,Yes,Yes,64,DSL,No,One year,Yes,No
20.5,Female,0,Yes,No,28,No,No internet service,Month-to-month,No,No
100.75,Female,0,Yes,No,57,Fiber optic,No,One year,Yes,No
87.25,Female,0,Yes,Yes,14,Fiber optic,No,Month-to-month,Yes,Yes
19.95,Male,0,No,No,19,No,No internet service,Two year,Yes,No
79.95,Male,0,Yes,No,10,Fiber optic,No,Month-to-month,Yes,Yes
49.65,Female,0,Yes,No,51,DSL,Yes,Month-to-month,Yes,No
65.65,Female,0,Yes,No,67,DSL,Yes,Two year,No,No
20.45,Male,0,Yes,Yes,11,No,No internet service,Month-to-month,Yes,No
60.95,Male,0,Yes,Yes,72,DSL,No,Two year,No,No
20.35,Male,0,Yes,Yes,66,No,No internet service,One year,Yes,No
88.35,Female,0,No,No,18,Fiber optic,No,Month-to-month,Yes,Yes
19.5,Female,0,No,No,9,No,No internet service,Month-to-month,Yes,No
75.2,Female,0,No,No,9,Fiber optic,No,Month-to-month,Yes,No
111.45,Male,0,Yes,No,48,Fiber optic,Yes,Month-to-month,Yes,No
70.15,Male,0,No,No,10,Fiber optic,No,Month-to-month,No,No
94.75,Female,0,No,No,9,Fiber optic,No,Month-to-month,Yes,Yes
95.05,Female,1,No,No,13,Fiber optic,No,Month-to-month,Yes,Yes
78.45,Male,0,No,No,4,Fiber optic,Yes,Month-to-month,No,Yes
70.2,Male,0,No,No,4,Fiber optic,No,Month-to-month,Yes,Yes
92,Female,0,Yes,No,72,DSL,Yes,Two year,No,No
85.5,Female,0,Yes,Yes,51,DSL,Yes,Two year,No,No
41.05,Male,0,Yes,No,59,DSL,Yes,Month-to-month,Yes,Yes
85.6,Male,0,Yes,No,10,Fiber optic,No,Month-to-month,Yes,Yes
82.15,Male,1,Yes,No,61,Fiber optic,Yes,Month-to-month,Yes,No
84.4,Male,0,No,No,54,Fiber optic,No,One year,No,No
60.9,Female,0,No,No,33,DSL,Yes,Month-to-month,Yes,No
20.25,Female,0,No,No,27,No,No internet service,Two year,Yes,No
79.2,Female,1,No,No,1,Fiber optic,No,Month-to-month,Yes,Yes
95.3,Male,0,No,No,23,Fiber optic,Yes,Month-to-month,No,No
19.85,Male,0,No,Yes,1,No,No internet service,Month-to-month,No,No
84.35,Male,0,Yes,Yes,45,DSL,Yes,Two year,Yes,No
19.85,Female,0,Yes,Yes,39,No,No internet service,Two year,Yes,No
70,Male,0,No,No,5,DSL,No,One year,Yes,Yes
82.3,Male,0,Yes,Yes,72,DSL,Yes,Two year,No,No
66.8,Female,0,Yes,Yes,58,DSL,Yes,Month-to-month,Yes,No
44.6,Female,0,No,No,70,DSL,Yes,Two year,Yes,No
98.45,Male,0,Yes,Yes,61,Fiber optic,Yes,One year,Yes,No
70.7,Male,0,No,No,2,Fiber optic,No,Month-to-month,No,No
24.95,Female,0,Yes,Yes,46,No,No internet service,One year,No,No
49.95,Female,0,No,No,1,DSL,No,Month-to-month,Yes,Yes
69.25,Female,0,Yes,No,22,Fiber optic,No,Month-to-month,Yes,Yes
102.5,Female,0,No,No,48,Fiber optic,No,Two year,Yes,No
86.55,Male,0,No,No,64,DSL,Yes,Two year,No,No
24.3,Male,0,Yes,Yes,72,No,No internet service,Two year,No,No
58.35,Female,0,Yes,Yes,12,DSL,No,Month-to-month,Yes,No
94.25,Female,1,Yes,No,34,Fiber optic,Yes,Month-to-month,Yes,Yes
68.75,Female,0,Yes,Yes,72,DSL,Yes,Two year,No,No
85.8,Male,0,Yes,No,29,Fiber optic,Yes,Month-to-month,Yes,No
20.1,Male,0,Yes,Yes,33,No,No internet service,One year,No,No
20.35,Female,0,No,No,1,No,No internet service,Month-to-month,No,No
110.8,Female,0,Yes,Yes,62,Fiber optic,Yes,One year,Yes,No
73,Male,0,Yes,No,41,DSL,No,One year,Yes,Yes
100.05,Female,0,No,No,64,Fiber optic,No,One year,Yes,Yes
82.85,Female,0,No,No,4,Fiber optic,No,Month-to-month,Yes,No
84.35,Female,0,No,No,24,Fiber optic,No,Month-to-month,Yes,No
19.55,Female,0,Yes,Yes,14,No,No internet service,One year,No,No
19.95,Male,0,No,Yes,3,No,No internet service,Month-to-month,No,No
99.8,Female,1,No,No,4,Fiber optic,Yes,Month-to-month,Yes,Yes
35,Female,0,No,Yes,18,DSL,No,Month-to-month,Yes,Yes
66.25,Male,0,No,No,8,DSL,No,Month-to-month,Yes,No
23.3,Female,0,No,No,35,No,No internet service,Two year,No,No
76,Female,0,No,No,1,Fiber optic,No,Month-to-month,No,Yes
25.3,Male,0,No,Yes,66,No,No internet service,Two year,Yes,No
44.55,Male,0,No,Yes,8,DSL,No,Two year,Yes,No
104.1,Female,0,Yes,No,71,Fiber optic,No,One year,Yes,No
92.55,Female,0,Yes,Yes,43,Fiber optic,No,Month-to-month,Yes,No
93.85,Female,1,No,No,2,Fiber optic,No,Month-to-month,Yes,Yes
101.45,Male,1,No,No,29,Fiber optic,Yes,Month-to-month,Yes,No
84.3,Female,0,Yes,No,15,Fiber optic,No,Month-to-month,Yes,Yes
94.55,Male,0,Yes,Yes,65,Fiber optic,Yes,Two year,No,No
95.5,Male,0,No,No,35,Fiber optic,No,Month-to-month,No,No
100.3,Male,0,No,No,64,Fiber optic,Yes,One year,Yes,No
55.5,Female,0,Yes,Yes,58,DSL,No,Two year,Yes,No
49.85,Female,1,No,No,18,DSL,Yes,Month-to-month,Yes,No
89.55,Male,0,Yes,Yes,67,Fiber optic,Yes,Month-to-month,Yes,No
19.15,Male,0,Yes,Yes,63,No,No internet service,Two year,Yes,No
99.8,Female,0,Yes,No,60,Fiber optic,Yes,Month-to-month,Yes,No
84.4,Male,1,No,No,9,Fiber optic,No,Month-to-month,Yes,Yes
113.05,Female,0,Yes,Yes,70,Fiber optic,Yes,Two year,Yes,No
101.1,Male,0,Yes,No,15,Fiber optic,No,Month-to-month,Yes,Yes
19.95,Female,0,No,Yes,48,No,No internet service,One year,No,No
74.15,Male,0,Yes,No,12,DSL,No,Month-to-month,Yes,No
92,Male,1,Yes,No,71,Fiber optic,Yes,One year,Yes,No
73.85,Male,1,No,No,44,Fiber optic,No,Month-to-month,No,No
50.45,Male,0,No,No,1,DSL,No,Month-to-month,Yes,Yes
24.45,Male,0,Yes,Yes,45,No,No internet service,Two year,No,No
24.8,Female,0,No,No,23,No,No internet service,One year,No,No
64.85,Female,0,Yes,No,43,DSL,No,One year,Yes,No
20.75,Male,0,No,No,35,No,No internet service,Month-to-month,No,No
68.95,Male,0,Yes,No,9,DSL,Yes,Month-to-month,Yes,No
99.95,Male,0,No,No,12,Fiber optic,No,Month-to-month,Yes,Yes
109.4,Female,1,Yes,No,65,Fiber optic,Yes,Month-to-month,Yes,No
91.4,Female,0,No,No,2,Fiber optic,No,Month-to-month,Yes,Yes
49,Male,0,No,No,27,DSL,No,Month-to-month,No,No
50.25,Female,0,No,No,40,DSL,No,One year,Yes,No
75.55,Female,1,No,No,5,Fiber optic,No,Month-to-month,Yes,Yes
19.9,Male,0,Yes,Yes,8,No,No internet service,One year,No,No
97.8,Female,1,Yes,No,58,Fiber optic,Yes,One year,Yes,No
100.3,Female,0,Yes,Yes,52,Fiber optic,No,One year,No,No
55.8,Male,0,Yes,No,3,DSL,No,Month-to-month,Yes,No
111.15,Male,0,No,Yes,41,Fiber optic,Yes,Two year,Yes,No
98.55,Male,0,No,No,20,Fiber optic,No,Month-to-month,Yes,No
50.05,Male,0,No,Yes,1,DSL,No,Month-to-month,Yes,No
80.8,Male,0,No,Yes,4,Fiber optic,No,Month-to-month,No,Yes
20.85,Male,0,No,No,23,No,No internet service,Month-to-month,No,No
19.5,Female,1,No,No,6,No,No internet service,Month-to-month,No,No
